"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","140.82.113.26","192.168.75.216","TCP","54","443  >  58291 [ACK] Seq=1 Ack=1 Win=210 Len=0"
"2","0.000000","157.240.208.60","192.168.75.216","TLSv1.2","92","Application Data"
"3","0.048745","192.168.75.216","157.240.208.60","TCP","54","58281  >  443 [ACK] Seq=1 Ack=39 Win=254 Len=0"
"6","1.423525","192.168.75.216","52.71.28.102","TCP","55","58005  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU]"
"15","1.760740","52.71.28.102","192.168.75.216","TCP","54","443  >  58005 [ACK] Seq=1 Ack=2 Win=170 Len=0"
"48","1.906118","192.168.75.216","108.138.141.32","TCP","55","58294  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1 [TCP segment of a reassembled PDU]"
"66","2.077273","108.138.141.32","192.168.75.216","TCP","54","443  >  58294 [ACK] Seq=1 Ack=2 Win=173 Len=0"
"507","4.117593","3.232.39.161","192.168.75.216","TLSv1.2","93","Application Data"
"508","4.123848","3.232.39.161","192.168.75.216","TLSv1.2","78","Application Data"
"509","4.123925","192.168.75.216","3.232.39.161","TCP","54","58299  >  443 [ACK] Seq=1 Ack=64 Win=255 Len=0"
"512","6.148453","192.168.75.216","157.240.208.60","TLSv1.2","180","Application Data"
"513","6.149133","3.232.39.161","192.168.75.216","TCP","54","443  >  58299 [FIN, ACK] Seq=64 Ack=1 Win=149 Len=0"
"514","6.149222","192.168.75.216","3.232.39.161","TCP","54","58299  >  443 [ACK] Seq=1 Ack=65 Win=255 Len=0"
"515","6.581119","192.168.75.216","157.240.208.60","TCP","180","[TCP Retransmission] 58281  >  443 [PSH, ACK] Seq=1 Ack=39 Win=254 Len=126"
"516","6.585288","157.240.208.60","192.168.75.216","TCP","54","443  >  58281 [ACK] Seq=39 Ack=127 Win=980 Len=0"
"517","6.743603","157.240.208.60","192.168.75.216","TCP","54","[TCP Dup ACK 516#1] 443  >  58281 [ACK] Seq=39 Ack=127 Win=980 Len=0"
"520","7.072713","3.225.133.12","192.168.75.216","TLSv1.2","85","Encrypted Alert"
"554","7.118290","192.168.75.216","3.225.133.12","TCP","54","58302  >  443 [ACK] Seq=1 Ack=32 Win=253 Len=0"
"557","8.147032","192.168.75.216","20.96.88.162","TLSv1.2","126","Application Data"
"558","8.147216","192.168.75.216","20.96.88.162","TLSv1.2","100","Application Data"
"559","8.147266","192.168.75.216","20.96.88.162","TLSv1.2","228","Application Data"
"561","8.452100","192.168.75.216","20.96.88.162","TCP","346","[TCP Retransmission] 58300  >  443 [PSH, ACK] Seq=1 Ack=1 Win=251 Len=292"
"562","8.456396","20.96.88.162","192.168.75.216","TCP","54","443  >  58300 [ACK] Seq=1 Ack=73 Win=951 Len=0"
"563","8.456396","20.96.88.162","192.168.75.216","TCP","54","443  >  58300 [ACK] Seq=1 Ack=293 Win=958 Len=0"
"564","8.457939","20.96.88.162","192.168.75.216","TLSv1.2","142","Application Data, Application Data"
"565","8.464542","20.96.88.162","192.168.75.216","TLSv1.2","131","Application Data"
"566","8.464689","192.168.75.216","20.96.88.162","TCP","54","58300  >  443 [ACK] Seq=293 Ack=166 Win=257 Len=0"
"567","10.244439","20.205.243.166","192.168.75.216","TLSv1.2","93","Application Data"
"568","10.244439","20.205.243.166","192.168.75.216","TCP","54","443  >  58284 [FIN, ACK] Seq=40 Ack=1 Win=149 Len=0"
"569","10.244601","192.168.75.216","20.205.243.166","TCP","54","58284  >  443 [ACK] Seq=1 Ack=41 Win=256 Len=0"
"570","12.085624","3.225.133.12","192.168.75.216","TCP","54","443  >  58302 [FIN, ACK] Seq=32 Ack=1 Win=178 Len=0"
"571","12.085737","192.168.75.216","3.225.133.12","TCP","54","58302  >  443 [ACK] Seq=1 Ack=33 Win=253 Len=0"
"572","12.785429","140.82.113.26","192.168.75.216","TLSv1.2","79","Application Data"
"573","12.785697","192.168.75.216","140.82.113.26","TLSv1.2","83","Application Data"
"575","12.918481","140.82.113.26","192.168.75.216","TCP","54","443  >  58291 [ACK] Seq=26 Ack=30 Win=211 Len=0"
"625","15.887016","192.168.75.216","58.251.106.185","TCP","66","58303  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1"
"629","15.994742","58.251.106.185","192.168.75.216","TCP","66","443  >  58303 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=32 SACK_PERM=1"
"630","15.995136","192.168.75.216","58.251.106.185","TCP","54","58303  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
